Species	SMPL_A12_3	SMPL_A13_3	SMPL_A14_3	SMPL_A15_3	SMPL_A16_3	SMPL_A17_2	SMPL_A18_2	SMPL_A19_2	SMPL_A20_4	SMPL_A21_2	SMPL_A22_2	SMPL_A23_1	SMPL_A24_4	SMPL_A25_2	SMPL_A33_1	SMPL_A36_1	SMPL_A3_2	SMPL_A41_1	SMPL_A42_4	SMPL_A44_1	SMPL_A47_4	SMPL_A48_1	SMPL_A52_3	SMPL_A53_4	SMPL_A54_4	SMPL_A56_3	SMPL_A57_4	SMPL_A58_4	SMPL_A59_4	SMPL_A5_1	SMPL_A7_3	SMPL_A9_2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella;uncultured organism	0	0	0	0	0	0	30	3	0	0	0	2	1	0	1	3	0	6	6	6	6	5	0	0	0	7	16	3	11	20	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;?	1	0	0	10	3	29	0	4	3	7	2	1	2	3	0	0	0	6	0	5	0	2	3	1	4	5	0	2	19	43	16	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;uncultured organism	417	1134	286	21	6	583	591	412	1284	332	35	70	1435	1305	222	284	173	321	738	346	593	462	214	382	459	94	592	315	837	528	235	1350
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sellimonas;?	7	5	0	0	31	117	0	2	119	53	0	5	5	29	0	57	0	25	20	16	0	3	11	0	1	10	1	3	3	0	1	15
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella 3;?	0	0	0	0	0	0	0	4	1	0	0	102	12	0	0	0	0	251	0	0	143	0	0	16	0	0	16	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;uncultured Firmicutes bacterium	7	0	0	0	0	0	0	0	1	0	4	11	9	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;uncultured organism	0	0	0	0	0	53	0	5	301	0	0	0	3	0	3	1	0	0	0	124	0	0	50	0	0	0	0	0	1	0	22	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group;?	31	23	371	73	2	962	249	212	41	76	133	87	482	176	67	295	303	289	310	165	271	219	110	85	115	5	305	571	503	119	1122	85
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ruminantium group;?	0	45	13	12	0	267	1	10	3	27	0	7	4	73	13	1	62	38	22	0	6	121	24	4	50	0	230	558	285	2	219	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group;?	25	606	21	8	1	22	43	12	113	28	2	9	131	60	7	6	12	16	40	9	14	17	16	13	40	10	20	27	43	4	9	29
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured organism;?	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;?;?	1	0	6	0	0	0	0	34	11	0	0	0	0	0	45	4	0	28	0	0	2	1	1	0	11	0	0	3	4	3	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;?	0	0	0	125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	1	0	0	0	4	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus;?	0	0	0	39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;uncultured Romboutsia sp.	25	224	44	345	220	5	42	3	4	2	2113	15	152	73	2	1	38	32	29	115	341	54	35	391	7	17	171	21	45	118	0	390
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?	116	250	691	77	0	22	7	308	302	16	0	13	83	149	331	63	124	353	67	200	16	68	47	14	308	80	156	239	254	25	94	15
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;Clostridium phoceensis	0	0	1	0	0	0	0	2	0	0	0	0	18	0	18	9	0	9	0	0	0	0	1	0	5	0	3	2	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;metagenome	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;uncultured Clostridiales bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;uncultured organism	0	0	6	0	0	40	0	2	47	0	0	0	0	12	0	0	8	6	0	9	0	0	0	1	25	4	0	25	23	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium;uncultured rumen bacterium	2	20	1	1	0	0	0	2	0	0	0	5	0	0	1	1	0	3	0	0	0	0	5	0	1	4	0	0	0	0	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;metagenome	0	0	9	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	5	0	2	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;?	0	8	1	0	0	0	0	2	0	0	0	1	7	0	6	0	0	6	1	4	0	0	0	0	11	0	0	1	7	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella;Angelakisella massiliensis	0	0	0	0	0	0	0	15	0	0	0	0	0	0	8	25	0	18	0	0	0	0	0	0	11	0	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;?	82	236	3	8	0	6	17	18	57	3	0	11	48	155	3	29	15	29	171	4	69	13	7	32	26	4	69	91	14	44	110	18
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;CAG-352;uncultured organism	0	0	2	0	0	1	0	22	11	0	0	0	0	0	33	5	6	1257	0	2	0	0	0	16	38	1	1	32	6	0	240	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus Soleaferrea;Bittarella massiliensis	4	29	5	39	13	1	2	12	1	4	0	1	11	1	0	0	2	0	2	3	0	1	1	3	2	5	0	3	0	3	0	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;?	2766	1	1241	254	2497	4320	4523	2319	845	4941	1	6003	4461	7035	1616	2849	4049	7775	5313	4829	1036	5393	1091	3238	801	7396	3774	2514	5290	3574	3	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;uncultured organism	9	0	0	0	2	27	23	4	0	1	0	12	22	40	1	17	12	16	33	5	6	3	3	7	0	37	14	17	7	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;uncultured Flavonifractor sp.	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fournierella;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fournierella;uncultured Clostridiaceae bacterium	272	1	0	1	0	2	2	0	0	1	0	0	0	2	0	3	0	0	0	0	0	64	231	1	0	3	0	0	70	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia;?	0	0	0	0	0	0	0	1	2	0	0	0	1	0	7	0	0	2	0	2	0	0	0	0	1	1	0	1	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;?	9	218	4	0	0	12	0	43	9	89	0	10	0	65	88	14	5	33	18	16	5	8	14	0	22	111	1	16	12	9	64	9
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus;?	0	0	28	0	0	0	0	2	0	0	0	0	0	0	47	2	0	7	0	1	0	0	0	0	8	1	12	28	40	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;?	43	0	17	3	12	14	0	33	59	56	3	223	295	22	46	44	18	91	24	69	19	16	38	13	27	65	29	66	18	15	12	41
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;uncultured Oscillospira sp.	13	0	2	0	0	2	0	59	0	0	0	0	0	0	4	0	3	19	0	0	2	0	0	0	2	3	0	0	14	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;uncultured organism	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	3	0	11	0	0	0	1	0	0	2	0	0	2	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea;?	6	1	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	6	0	0	2	2	0	4	0	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 1;?	12	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	48	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 1;uncultured organism	0	0	0	0	0	0	0	16	0	0	0	0	0	0	4	2	0	5	0	0	0	0	0	0	7	0	0	2	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;?	51	0	28	0	0	3	0	52	71	7	0	1	23	0	52	19	1	8	63	61	3	1	10	4	54	17	20	41	41	20	20	7
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured organism	0	85	22	91	39	35	15	11	109	19	11	12	16	8	9	32	6	75	13	111	10	1	12	18	24	12	3	17	15	3	6	34
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;?	1	0	43	0	1	1504	0	318	1	343	0	0	66	0	39	97	66	414	326	843	14	206	21	4	382	1	27	91	11	2473	0	117
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;gut metagenome	0	0	0	0	0	0	0	0	0	1	0	184	0	0	325	0	55	20	28	0	24	182	1	0	16	0	0	0	421	453	174	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 9;?	3	2	0	0	0	0	0	45	3	0	0	1	0	1	4	7	0	14	1	0	0	0	19	1	10	0	28	6	92	1	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 9;uncultured organism	0	0	0	0	0	4	0	9	17	3	0	6	0	13	0	3	7	7	12	9	14	5	2	23	6	12	4	5	2	8	7	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;?	11	0	34	0	0	0	0	38	1	0	0	3	2	0	22	3	2	18	0	5	1	2	1	0	67	10	4	17	23	9	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group;metagenome	199	225	176	1	2	8	1	102	376	0	0	0	0	4	212	1	32	17	200	1	24	17	1	19	89	0	230	89	45	16	63	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group;uncultured organism	1	1	2	0	0	2	0	9	0	0	0	0	0	0	67	55	0	42	0	2	0	0	0	0	22	1	1	5	1	0	50	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002;?	2203	2	1620	18	65	1497	182	2197	1973	768	31	516	1050	932	494	336	985	3184	663	1023	536	1610	260	312	1037	92	986	1205	1146	368	505	86
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-003;?	196	0	91	12	0	305	4	238	0	19	0	0	111	0	10	0	126	51	120	0	367	317	2	7	7	1	187	3	206	12	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;?	11	4	37	1	1	15	0	32	7	3	0	0	0	0	10	7	6	45	0	5	7	6	2	1	82	0	6	10	13	1	29	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;uncultured organism	667	1	496	1565	4	673	0	712	698	574	0	0	3	281	96	237	342	420	62	83	92	378	71	5	1995	2	113	338	249	62	86	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-009;?	0	3	0	0	0	0	0	14	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;?	0	1	0	0	0	3	0	176	0	0	0	0	0	0	40	30	33	147	0	0	1	271	2	1	317	0	17	24	76	44	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;metagenome	0	0	38	0	0	0	0	0	0	0	0	0	0	0	117	0	37	4	0	23	4	193	0	1	0	0	10	0	128	14	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;uncultured organism	0	0	42	0	0	0	0	2	23	0	0	0	0	0	3	12	2	6	0	0	0	0	1	0	3	0	0	21	6	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-011;?	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	21	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013;?	0	4	5	0	0	0	44	76	0	12	0	45	16	233	6	112	9	179	1027	71	43	134	16	51	158	0	12	31	48	64	8	180
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013;uncultured Clostridiaceae bacterium	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?	4	0	1956	0	0	1592	188	1997	0	1	0	1	9	0	1053	761	518	1153	0	84	9	229	38	3	175	14	1	427	115	733	160	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured organism	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured rumen bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;?	1	0	15	0	1	276	43	13	20	159	0	6	1	48	34	28	112	248	588	3	5	25	50	3	69	17	116	124	155	44	0	27
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;Ruminococcus bicirculans	0	0	245	0	0	289	0	32	0	0	1	1	0	1521	0	127	758	975	1002	2	38	167	301	2267	610	0	0	161	264	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;gut metagenome	1	0	0	0	1	55	0	593	0	0	0	0	0	0	0	0	1006	617	0	0	71	91	2	2	41	0	0	1	0	0	5	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	103	0	0	0	152	0	1	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;uncultured organism	123	0	0	1	1	2	0	57	0	0	0	0	1	0	25	199	0	2	0	176	0	0	0	1	0	0	0	0	0	0	33	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2;?	62	1	6072	0	1	1942	0	659	2174	243	0	694	31	1767	105	702	147	4	1	0	1124	331	955	976	1358	8	141	1164	1165	65	139	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;?	3	2	0	1	0	57	10	26	6	24	0	1	9	29	3	17	8	47	6	2	0	12	1	11	4	0	16	9	14	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;UBA1819;uncultured organism	23	13	65	1297	7	4	11	14	1352	6	2	0	115	34	11	12	10	42	4	56	4	11	4	1	43	88	1	20	12	3	26	9
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;?	0	0	1	0	0	233	0	4	0	0	0	0	1954	166	0	151	0	11	4	1273	0	0	16	0	3	0	166	1	0	27	286	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;gut metagenome	2	0	0	0	0	0	0	22	0	0	0	0	0	0	12	0	6	0	0	0	5	0	0	0	17	0	0	0	3	4	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured organism	165	0	185	1	0	52	89	361	77	540	1	0	0	1	43	69	186	499	0	0	224	195	1	140	166	0	556	178	1366	23	0	0
Bacteria;Firmicutes;Clostridia;DTU014;?;?;?	0	0	28	0	0	0	0	9	0	0	0	0	0	0	54	13	0	118	0	2	0	0	10	0	33	0	0	0	44	0	3	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;?;?	6	130	3	1	0	5	0	0	2	0	0	0	0	0	31	0	0	0	0	24	17	0	1	0	71	2	8	34	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dielma;?	0	16	16	137	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	1	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;?	4	330	3	527	723	1	2	3	1	48	1	10	74	1	1	22	3	45	1	75	2	17	9	0	0	22	12	1	0	3	2	57
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;Massiliomicrobiota timonensis	0	0	2	0	0	0	0	0	2	0	0	1	109	0	0	1	0	0	0	0	0	0	0	0	0	15	0	5	0	0	0	1
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-003;?	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	0	2	0	198	4	0	1	0	15	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea;?	0	906	38	59	0	3	0	8	535	1	0	85	117	0	4	0	0	5	0	90	0	4	22	0	0	80	0	0	1	0	1	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea;[Eubacterium] dolichum	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea;uncultured Firmicutes bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Firmicutes bacterium CAG:345;?	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;?	413	0	0	1	1	0	0	0	0	0	0	0	0	0	0	86	0	100	0	0	0	0	0	1	0	0	157	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania sp. Marseille-P2844	10	0	2	34	0	15	0	4	38	0	0	15	1	13	2	6	1	4	11	19	1	5	8	0	13	8	5	3	5	0	1	24
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;?	0	0	0	0	0	0	0	4	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;?	75	0	0	0	0	0	1	0	0	0	5	26	1	0	0	0	0	0	0	0	0	4	0	1	0	0	1079	1	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	3
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas 3;?	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;?	6	0	1	0	236	0	32	3	0	9	100	151	173	22	0	7	39	1	62	0	22	3	33	94	6	2	6	7	13	3	9	101
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;uncultured organism	2	0	1	4	17	0	12	0	0	0	68	4	7	0	1	0	6	3	6	2	16	2	98	4	0	3	2	0	14	1	0	31
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;Cetobacterium somerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;?	0	0	0	0	6	2	4	0	0	0	15	0	0	0	0	1	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	8
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;uncultured organism	0	0	0	2	0	0	0	1	0	0	0	0	25	0	2454	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;?	0	0	67	0	0	1	0	260	0	0	0	0	0	0	179	0	0	0	4	0	0	1	45	0	193	13	0	12	219	0	10	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;vadinBE97;uncultured rumen bacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	113	0	0	0	0	0	0	0	0	11	12	0	0	168	0	21	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;?;?	2	2	6	1	23	3	10	2	2	1	3	0	26	18	1	0	2	1	0	1	2	2	0	12	1	0	0	9	1	15	0	1
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas;TM7 phylum sp. oral clone CW040	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;uncultured Candidatus Saccharibacteria bacterium;?	3	0	4	0	9	0	5	5	0	0	0	0	13	0	0	1	0	0	0	1	1	0	0	1	0	0	0	3	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;?;?;?	0	4	1	0	0	256	0	1	1	36	0	2251	0	0	2896	273	3215	19	0	357	362	538	2	1123	67	2923	1	54	855	0	1854	564
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;?;?	0	0	0	0	0	6	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;?;?	8	0	1	0	0	0	0	13	0	106	0	0	0	0	0	0	0	0	0	0	0	0	27	0	6	119	1	0	17	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;?	0	250	82	1	1	0	0	76	116	111	57	247	376	112	31	114	35	69	55	127	78	66	110	44	91	113	115	65	54	3	90	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;?	0	0	44	0	0	0	0	0	0	0	92	0	784	0	168	0	0	0	0	0	0	0	0	0	172	58	0	0	2	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Acidovorax;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Comamonas;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Delftia;uncultured organism	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Lautropia;?	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
